Date,Humidity,Temperature
2024-03-15 16:30:00,99.76554203514178,21.486037016303897
2024-03-15 16:35:00,99.76571101720153,21.3860133004134
2024-03-15 16:40:00,99.76584083171576,21.285995766832137
2024-03-15 16:45:00,99.63479996791662,21.27201270928696
2024-03-15 16:50:00,99.50680638460712,21.258050034669704
2024-03-15 16:55:00,99.7663174751186,21.28604574335457
2024-03-15 17:00:00,99.6357383631656,21.272112563842548
2024-03-15 17:05:00,99.766637403859,21.286078786032064
2024-03-15 17:10:00,99.6363682499684,21.272178584253687
2024-03-15 17:15:00,99.5091222395846,21.25829860227004
2024-03-15 17:20:00,99.38482921491207,21.2444388106686
2024-03-15 17:25:00,99.2634206463004,21.230599180079604
2024-03-15 17:30:00,99.76726377659378,20.186108902950792
2024-03-15 17:35:00,99.6376015096168,20.17223989912964
2024-03-15 17:40:00,99.5109434672125,20.158393713870915
2024-03-15 17:45:00,99.38722004265956,20.14457030963144
2024-03-15 17:50:00,99.26636324199748,20.13076964892976
2024-03-15 17:55:00,99.14830664665946,20.11699169434612
2024-03-15 18:00:00,99.03298537697133,20.103236408522328
2024-03-15 18:05:00,98.92033605649576,20.089503754161647
2024-03-15 18:10:00,98.20373503493816,18.98692577171805
2024-03-15 18:15:00,98.10970066167442,18.97387529906904
2024-03-15 18:20:00,96.63965421312705,18.48742226382267
2024-03-15 18:25:00,96.83521083372317,18.28764993764775
2024-03-15 18:30:00,96.15101189603268,18.08789387580616
2024-03-15 18:35:00,96.10316779915112,18.075810725817988
2024-03-15 18:40:00,96.05334946451536,17.688420939112973
2024-03-15 18:45:00,95.95564296283804,17.48870308713005
2024-03-15 18:50:00,95.9123191336943,17.477428713677796
2024-03-15 18:55:00,95.87000444606484,17.466176834672954
2024-03-15 19:00:00,95.82867539402656,17.454947405234964
2024-03-15 19:05:00,95.7883090191796,17.443740380572816
2024-03-15 19:10:00,95.56472241318568,16.490293385664827
2024-03-15 19:15:00,93.99709645638188,16.290642972573757
2024-03-15 19:20:00,93.70409503565207,15.991182092821628
2024-03-15 19:25:00,94.1924260061258,15.791555825375884
2024-03-15 19:30:00,95.27150848983447,15.69174922639654
2024-03-15 19:35:00,95.760202433205,15.492135517984927
2024-03-15 19:40:00,95.5647573849131,15.392334604742643
2024-03-15 19:45:00,93.2158698934755,15.192732436163654
2024-03-15 19:50:00,95.07603536328668,15.092937662481086
2024-03-15 19:55:00,96.24880720352942,14.893345069312335
2024-03-15 20:00:00,96.34658043057551,14.893350244130636
2024-03-15 20:05:00,97.61720970955942,14.893355410853736
2024-03-15 20:10:00,97.03081699996616,14.793565355965434
2024-03-15 20:15:00,97.3241023543955,14.793570321548756
2024-03-15 20:20:00,97.42191078475274,14.693780776771447
2024-03-15 20:25:00,97.12874694622468,14.593993576422196
2024-03-15 20:30:00,97.71527233475926,14.593998154978925
2024-03-15 20:35:00,98.30189006681228,14.494211351278825
2024-03-15 20:40:00,97.61767143909736,14.394425828507854
2024-03-15 20:45:00,97.81324233504536,14.39443002927876
2024-03-15 20:50:00,98.10657759006853,14.29464669358118
2024-03-15 20:55:00,97.71564922033266,14.194863575690784
2024-03-15 21:00:00,98.00897914984034,14.095082523752716
2024-03-15 21:05:00,97.22705424676548,13.995301579385924
2024-03-15 21:10:00,97.4226067519556,13.895521639109894
2024-03-15 21:15:00,97.34702056820817,13.89105374117236
2024-03-15 21:20:00,97.27319925539508,13.886595902020758
2024-03-15 21:25:00,97.20110160533176,13.882148099009276
2024-03-15 21:30:00,97.13068737200844,13.87771030954309
2024-03-15 21:35:00,97.06191724912436,13.873282511078235
2024-03-15 21:40:00,96.99475284814623,13.868864681121511
2024-03-15 21:45:00,96.92915667687936,13.864456797230355
2024-03-15 21:50:00,96.86509211853878,13.860058837012724
2024-03-15 21:55:00,96.80252341130924,13.855670778126989
2024-03-15 22:00:00,96.7414156283825,13.851292598281823
2024-03-15 22:05:00,96.68173465846051,13.846924275236091
2024-03-15 22:10:00,96.62344718671416,13.842565786798716
2024-03-15 22:15:00,96.56652067618612,13.83821711082859
2024-03-15 22:20:00,96.51092334962856,13.83387822523445
2024-03-15 22:25:00,99.1823407166648,12.79796937774664
2024-03-15 22:30:00,99.18246505966904,12.698198182234982
2024-03-15 22:35:00,99.06766432714304,12.696400492906548
2024-03-15 22:40:00,98.9555341967206,12.694606922555366
2024-03-15 22:45:00,98.84601254235562,12.69281746174378
2024-03-15 22:50:00,98.73903868323632,12.69103210105576
2024-03-15 22:55:00,98.63455335016477,12.689250831096844
2024-03-15 23:00:00,98.5324986527185,12.687473642494105
2024-03-15 23:05:00,98.43281804717634,12.685700525896085
2024-03-15 23:10:00,98.33545630519008,12.683931471972754
2024-03-15 23:15:00,98.240359483185,12.682166471415458
2024-03-15 23:20:00,98.14747489247232,12.680405514936876
2024-03-15 23:25:00,98.0567510700569,12.678648593270964
2024-03-15 23:30:00,99.77068555073738,11.90003825160254
2024-03-15 23:35:00,99.77082371203367,11.900038223542213
2024-03-15 23:40:00,99.28201251753993,11.8002678037172
2024-03-15 23:45:00,99.77107306509136,11.700497167467098
2024-03-15 23:50:00,99.77129918316032,11.7004968007055
2024-03-15 23:55:00,99.77143825882035,11.700496434484592
2024-03-16 00:00:00,99.77148819762054,11.600725524091228
2024-03-16 00:05:00,99.77162271222612,11.60072498769989
2024-03-16 00:10:00,99.6462087194646,11.601448310043764
2024-03-16 00:15:00,99.523689620852,11.602169970857076
2024-03-16 00:20:00,99.4039985944018,11.602889973956502
2024-03-16 00:25:00,99.28707036055968,11.603608323149944
